Date,Weather,Average_Wind_Speed,Wind_Direction,Wind_Angle
4/30/2011,cloudy,9,E,90
5/1/2011,clear,5,E,90
5/2/2011,clear,4,SE,135
5/3/2011,showers,8,SE,135
5/4/2011,showers,10,N,0
5/5/2011,rain,10,N,0
5/6/2011,rain,12,NW,-45
5/7/2011,rain,14,NNW,-30
5/8/2011,cloudy,10,NW,-45
5/9/2011,clear,6,NW,-45
5/10/2011,clear,6,WNW,-60
5/11/2011,clear,8,W,-90
5/12/2011,cloudy,8,N,0
5/13/2011,rain,10,N,0
5/14/2011,cloudy,8,NW,-45
5/15/2011,clear,8,NW,-45
5/16/2011,cloudy,10,W,-90
5/17/2011,clear,8,W,-90
5/18/2011,clear,9,W,-90
5/19/2011,cloudy,9,WNW,-60
5/20/2011,cloudy,5,NW,-45
